Hour,AQI Value
0,231
1,239
2,205
3,167
4,132
5,169
6,162
7,123
8,100
9,101
10,111
11,115
12,135
13,165
14,176
15,187
16,207
17,235
18,268
19,302
20,330
21,345
22,375
23,400
24,362
25,321
26,230
27,225
28,198
29,191
30,199
31,206
32,230
33,279
34,199
35,220
36,222
37,220
38,198
39,208
40,240
41,293
42,368
43,493
44,517
45,501
46,496
47,559
48,530
49,582
50,406
51,261
52,244
53,229
54,176
55,178
56,166
57,131
58,131
59,107
60,103
61,100
62,107
63,115
64,157
65,208
66,214
67,217
68,217
69,229
70,239
71,243
72,251
73,231
74,70
75,11
76,7
77,8
78,9
79,10
80,6
81,12
82,13
83,12
84,15
85,10
86,16
87,14
88,16
89,11
90,16
91,14
92,11
93,11
94,12
95,9
96,9
97,9
98,7
99,7
100,8
101,9
102,9
103,14
104,11
105,13
106,12
107,12
108,14
109,12
110,15
111,33
112,45
113,54
114,72
115,86
116,91
117,101
118,76
119,55
120,97
121,47
122,30
123,37
124,42
125,28
126,17
127,27
128,30
129,40
130,19
131,16
132,7
133,11
134,10
135,10
136,9
137,7
138,11
139,11
140,11
141,9
142,7
143,12
144,12
145,8
146,8
147,10
148,8
149,7
150,8
151,9
152,9
153,11
154,12
155,7
156,6
157,9
158,7
159,10
160,11
161,14
162,16
163,13
164,18
165,12
166,18
167,16
168,17
169,14
170,14
171,9
172,7
173,6
174,9
175,16
176,16
177,21
178,19
179,15
180,22
181,17
182,13
183,10
184,9
185,18
186,61
187,99
188,124
189,135
190,137
191,138
192,136
193,124
194,85
195,82
196,74
197,48
198,33
199,28
200,28
201,25
202,29
203,31
204,37
205,44
206,44
207,32
208,48
209,57
210,87
211,102
212,144
213,173
214,164
215,124
216,83
217,70
218,61
219,44
220,28
221,25
222,26
223,25
224,16
225,24
226,39
227,43
228,55
229,63
230,50
231,74
232,69
233,67
234,68
235,69
236,76
237,29
238,20
239,16
240,15
241,17
242,9
243,9
244,11
245,10
246,10
247,12
248,13
249,13
250,11
251,14
252,10
253,9
254,8
255,10
256,9
257,12
258,8
259,12
260,18
261,12
262,17
263,15
264,14
265,15
266,13
267,11
268,8
269,9
270,14
271,19
272,24
273,30
274,15
275,9
276,9
277,8
278,10
279,8
280,6
281,5
282,12
283,14
284,21
285,15
286,14
287,12
288,12
289,10
290,8
291,7
292,7
293,6
294,12
295,16
296,24
297,20
298,23
299,23
300,15
301,13
302,15
303,11
304,18
305,19
306,29
307,35
308,36
309,45
310,48
311,51
312,44
313,39
314,38
315,47
316,41
317,40
318,32
319,47
320,78
321,111
322,132
323,85
324,84
325,78
326,47
327,30
328,29
329,80
330,90
331,88
332,95
333,109
334,120
335,134
336,150
337,164
338,159
339,116
340,126
341,128
342,132
343,146
344,82
345,74
346,63
347,59
348,50
349,76
350,86
351,81
352,88
353,89
354,102
355,112
356,115
357,193
358,230
359,222
360,155
361,142
362,117
363,106
364,94
365,88
366,82
367,90
368,93
369,96
370,108
371,109
372,93
373,121
374,112
375,116
376,141
377,136
378,139
379,151
380,144
381,152
382,149
383,156
384,154
385,100
386,70
387,71
388,34
389,18
390,20
391,16
392,16
393,19
394,20
395,20
396,13
397,13
398,16
399,13
400,13
401,17
402,14
403,16
404,21
405,19
406,22
407,11
408,7
409,6
410,6
411,4
412,2
413,9
414,7
415,10
416,10
417,7
418,8
419,8
420,7
421,10
422,16
423,8
424,6
425,8
426,15
427,14
428,16
429,19
430,21
431,25
432,31
433,20
434,32
435,30
436,19
437,45
438,32
439,32
440,26
441,36
443,90
444,101
445,124
446,76
447,77
448,62
449,64
450,80
451,92
452,98
453,128
454,127
455,143
456,171
457,193
458,181
459,146
460,130
461,135
462,143
463,132
464,125
465,132
466,144
467,138
468,158
469,158
470,140
471,141
472,135
473,141
474,163
475,161
476,185
477,205
478,193
479,165
480,134
481,118
482,114
483,112
484,106
485,97
486,90
487,96
488,101
489,131
490,159
491,158
492,156
493,158
494,152
495,146
496,165
497,167
498,148
499,160
500,162
501,185
502,179
503,150
504,133
505,12
506,10
507,12
508,9
509,7
510,7
511,6
512,8
513,9
514,8
515,6
516,11
517,8
518,7
519,8
520,8
521,10
522,8
523,13
524,10
525,8
526,11
527,20
528,22
529,25
530,27
531,15
532,8
533,6
534,8
535,10
536,8
537,14
538,12
539,8
540,11
541,12
