DEWP,TEMP
-20,7
-20,7
-20,6
-20,6
-18,3
-18,4
-19,6
-19,6
-18,6
-18,7
-18,8
-18,9
-17,10
-18,11
-17,11
-17,11
-17,11
-16,10
-16,9
-16,9
-14,3
-14,0
-12,-1
-12,0
-13,-2
-12,-4
-12,-4
-12,-4
-12,-5
-10,-2
-7,-2
-9,-5
-9,-5
-7,-2
-7,2
-8,4
-8,5
-9,7
-9,7
-10,7
-10,6
-9,4
-8,3
-9,1
-8,0
-8,0
-8,-1
-7,-1
-9,0
-9,1
-9,0
-9,1
-9,-2
-9,-1
-13,0
-13,-1
-12,-1
-13,4
-16,7
-16,8
-16,8
-17,9
-18,9
-17,8
-17,7
-17,5
-17,3
-17,3
-16,1
-13,-1
-11,-1
-8,-1
-6,-1
-6,-2
-7,-2
-7,-2
-9,-5
-9,-5
-9,-6
-7,-4
-7,-3
-6,-2
-6,-1
-5,-1
-6,0
-7,1
-7,2
-7,2
-7,2
-7,1
-8,-2
-8,-3
-8,-4
-8,-4
-8,-4
-9,-5
-8,-4
-10,-6
-8,-5
-9,-6
-10,-7
-10,-7
-9,-6
-10,-7
-8,-4
-8,-2
-8,1
-12,5
-14,5
-14,5
-15,6
-15,6
-15,6
-15,3
-15,1
-12,-1
-12,-2
-12,0
-9,-1
-8,-2
-7,-3
-5,-2
-5,-1
-5,-1
-5,-1
-5,-1
-5,-1
-5,-1
-5,-1
-6,-1
-5,-1
-4,0
-4,0
-5,0
-5,0
-5,0
-5,0
-5,0
-7,-2
-6,-2
-5,-1
-6,-1
-6,-1
-6,-1
-6,-1
-6,-2
-7,-4
-7,-4
-6,-3
-6,-3
-8,-5
-7,-5
-6,-3
-7,-1
-8,1
-11,3
-14,3
-14,5
-16,5
-16,5
-16,5
-16,4
-16,4
-16,-1
-19,-1
-20,0
-25,0
-21,-4
-22,-3
-21,-4
-21,-4
-20,-4
-20,-5
-20,-5
-21,-6
-20,-6
-20,-5
-21,-5
-20,-2
-21,-1
-28,0
-27,1
-25,0
-26,0
-25,0
-26,-1
-26,-2
-25,-2
-25,-5
-25,-7
-23,-8
-24,-7
-23,-10
-23,-10
-23,-9
-23,-11
-23,-8
-26,-6
-25,-7
-25,-9
-24,-9
-25,-4
-26,-3
-28,-2
-28,0
-32,0
-33,1
-35,1
-34,1
-26,0
-24,-1
-23,-2
-22,-2
-23,-2
-24,-6
-21,-8
-20,-9
-20,-9
-22,-12
-22,-11
-22,-12
-23,-13
-22,-13
-23,-13
-22,-11
-21,-8
-22,-5
-23,-2
-25,0
-27,3
-28,3
-27,4
-29,5
-26,2
-26,1
-25,1
-20,-3
-24,1
-19,-5
-20,-8
-19,-9
-19,-9
-19,-9
-19,-10
-21,-10
-19,-11
-20,-12
-20,-11
-20,-11
-18,-7
-20,-3
-21,-1
-25,1
-25,3
-25,5
-27,5
-25,4
-22,2
-21,2
-19,2
-18,-4
-19,-5
-19,-1
-19,-2
-22,1
-21,-1
-24,-1
-22,-3
-23,-6
-22,-7
-24,-6
-23,-7
-22,-6
-22,-2
-23,0
-26,1
-26,1
-27,2
-27,2
-27,4
-27,3
-27,2
-26,1
-25,0
-22,-2
-22,-4
-21,-8
-22,-9
-19,-9
-20,-9
-20,-9
-18,-9
-20,-11
-20,-11
-19,-12
-19,-11
-19,-11
-17,-8
-18,-4
-18,-1
-19,0
-23,1
-22,2
-23,3
-23,3
-22,0
-20,-2
-19,-6
-16,-6
-18,-7
-17,-7
-19,-8
-18,-7
-19,-8
-20,-9
-19,-8
-21,-10
-19,-9
-20,-9
-18,-9
-18,-11
-15,-7
-12,-2
-20,-1
-23,1
-24,2
-23,3
-22,3
-19,3
-17,1
-16,0
-17,0
-16,1
-15,-5
-14,-5
-14,-6
-13,-7
-14,-8
-15,-7
-17,-10
-17,-10
-18,-10
-19,-10
-18,-10
-18,-7
-18,-5
-17,-2
-18,0
-20,2
-22,5
-22,5
-22,5
-23,5
-23,2
-16,2
-15,0
-13,-2
-11,-2
-11,-2
-10,-2
-10,-3
-9,-3
-9,-3
-8,-3
-7,-3
-7,-3
-7,-4
-7,-4
-8,-5
